"book_id","book_title","book_original_title","book_author","book_score","book_score_count","book_genre_info","book_similar","book_id_exists","","","","","","","",""
"80","Пиявка из нержавеющей стали","The Stainless Steel Leech","Роджер Желязны","8.05","426","wg1;wg15;wg3;wg164;wg69;wg77;wg103;wg163;wg265;wg110;wg150;wg106","","True","","","","","","","",""
"81","Ужасающая красота","A Thing of Terrible Beauty","Роджер Желязны","7.16","309","wg1;wg3;wg47;wg164;wg69;wg105;wg136;wg142;wg150;wg106","","True","","","","","","","",""
"82","И вот приходит сила","Comes Now the Power","Роджер Желязны","7.72","289","wg1;wg3;wg164;wg69;wg133;wg150;wg106","","True","","","","","","","",""
"83","Ауто-да-фе","Auto-Da-Fe","Роджер Желязны","6.90","475","wg1;wg3;wg164;wg52;wg69;wg77;wg102;wg150;wg106","307;10050;1477","True","","","","","","","",""
"84","Жизнь, которую я ждал","For a Breath I Tarry","Роджер Желязны","8.65","490","wg1;wg3;wg15;wg47;wg69;wg104;wg137;wg150;wg106","180431;27022;109370;3240","True","","","","","","","",""
"85","Мёртвое и живое","The Engine at Heartspring's Center","Роджер Желязны","7.87","244","wg1;wg3;wg47;wg164;wg89;wg127;wg103;wg140;wg153;wg106","10924;68815;90","True","","","","","","","",""
"86","Игра крови и пыли","The Game of Blood and Dust","Роджер Желязны","8.06","356","wg1;wg3;wg47;wg69;wg105;wg150;wg106","908;12937;155135;21335;614580","True","","","","","","","",""
"87","Награды не будет","No Award","Роджер Желязны","7.19","204","wg1;wg3;wg164;wg69;wg202;wg75;wg102;wg150;wg106","","True","","","","","","","",""
"88","Не женщина ли здесь о демоне рыдает?","Is There a Demon Lover in the House?","Роджер Желязны","7.40","257","wg1;wg3;wg164;wg69;wg71;wg189;wg192;wg100;wg150;wg106","","True","","","","","","","",""
"89","Жди нас, Руби Стоун","Stand Pat, Ruby Stone","Роджер Желязны","7.20","229","wg1;wg3;wg164;wg89;wg127;wg103;wg142;wg150;wg106","4671","True","","","","","","","",""
"90","Получеловек","Halfjack","Роджер Желязны","7.00","255","wg1;wg3;wg47;wg69;wg77;wg103;wg163;wg156;wg150;wg106","85","True","","","","","","","",""
"91","Кольцо царя Соломона","King Solomon's Ring","Роджер Желязны","7.44","198","wg1;wg3;wg164;wg14;wg89;wg127;wg103;wg136;wg153;wg106","5662","True","","","","","","","",""
"92","Песни Гипериона","Hyperion Cantos","Дэн Симмонс","8.90","3335","wg1;wg4;wg2;wg47;wg52;wg89;wg127;wg90;wg103;wg137;wg111;wg171;wg106","4324;13789;6590;37789;13058;1902;155273;37266;4442;13806;34345;34343;67978;166012;862234","True","","","","","","","",""
"93","Армагед-дом","","Марина и Сергей Дяченко","7.91","1422","wg1;wg16;wg3;wg14;wg164;wg47;wg78;wg105;wg165;wg112;wg150","5930","True","","","","","","","",""
"94","Пещера","","Марина и Сергей Дяченко","8.27","1458","wg33;wg162;wg164;wg47;wg88;wg105;wg112;wg106","24087","True","","","","","","","",""
"95","Академия","Foundation","Айзек Азимов","8.73","2553","wg1;wg2;wg3;wg14;wg47;wg89;wg127;wg90;wg103;wg113;wg106","4324;402728;17792;155273;43122;81227;13734;38846;6658;897479;6885;2435;28605;498932;19095;5067;102;306057;119682","True","","","","","","","",""
"96","___","___","___","___","___","___","___","False","","","","","","","",""
"97","Кладовая веков","Vault of the Ages","Пол Андерсон","6.62","82","wg1;wg15;wg52;wg69;wg77;wg202;wg75;wg103;wg112;wg150;wg106","8246","True","","","","","","","",""
"98","Сломанный меч","The Broken Sword","Пол Андерсон","7.83","547","wg19;wg21;wg29;wg54;wg141;wg60;wg52;wg69;wg71;wg189;wg96;wg112;wg111;wg150;wg106","2446;208;1160;46562;3378;19045;41021;241887","True","","","","","","","",""
"99","Волна мысли","Brain Wave","Пол Андерсон","7.55","86","wg1;wg16;wg2;wg14;wg47;wg52;wg164;wg69;wg202;wg75;wg148;wg215;wg100;wg112;wg171;wg106","7019;39320;111170;32230;65323;332576;6437;12207","True","","","","","","","",""
"100","Долгая дорога домой","The Long Way Home","Пол Андерсон","7.30","197","wg1;wg13;wg4;wg52;wg69;wg103;wg111;wg113;wg150;wg106","3107;34746;587;27916;187011;199683","True","","","","","","","",""
"101","Странник","The Peregrine","Пол Андерсон","7.60","55","","","True","","","","","","","",""
"102","Планета, с которой не возвращаются","Planet of No Return","Пол Андерсон","7.33","172","wg1;wg4;wg52;wg89;wg127;wg103;wg136;wg142;wg150;wg106","95","True","","","","","","","",""
"103","Снега Ганимеда","The Snows of Ganymede","Пол Андерсон","7.67","15","","","True","","","","","","","",""
"104","___","___","___","___","___","___","___","False","","","","","","","",""
"105","Планета девственниц","Virgin Planet","Пол Андерсон","7.47","36","","","True","","","","","","","",""
"106","Война двух миров","The War of Two Worlds","Пол Андерсон","7.13","82","wg1;wg3;wg52;wg69;wg77;wg202;wg75;wg103;wg142;wg115;wg136;wg150;wg106","5646","True","","","","","","","",""
"107","Охотники из небесной пещеры","Hunters of the Sky Cave","Пол Андерсон","7.60","82","wg1;wg4;wg3;wg52;wg89;wg123;wg127;wg90;wg103;wg223;wg142;wg171;wg106","7019","True","","","","","","","",""
"108","Враждебные звёзды","The Enemy Stars","Пол Андерсон","7.53","106","wg1;wg2;wg3;wg164;wg89;wg90;wg127;wg103;wg111;wg136;wg112;wg153;wg106","","True","","","","","","","",""
"109","___","___","___","___","___","___","___","False","","","","","","","",""
"110","Патруль времени","Guardians of Time","Пол Андерсон","7.94","114","","","True","","","","","","","",""
"111","___","___","___","___","___","___","___","False","","","","","","","",""
"112","Легко ли быть царём","Brave to Be a King","Пол Андерсон","7.84","1030","wg1;wg13;wg52;wg69;wg201;wg95;wg255;wg109;wg150;wg106","13968;10580","True","","","","","","","",""
"113","___","___","___","___","___","___","___","False","","","","","","","",""
